,SNR,alpha,std2_rel,pdf_type,h,ARL0,ARL1,CompTime
104,1.0,0.9,3.0,PWG,5.276814437879878,550.7473684210527,1.7619047619047619,6.244524002129094e-06
105,1.0,0.9,9.0,Gaussian,4.58853429380859,74.91176470588235,1.9782608695652173,4.158856766275262e-06
106,1.0,0.9,9.0,Gaussian,6.492798831292313,124.61458333333333,3.0256410256410255,5.27264389118658e-06
107,1.0,0.9,9.0,Gaussian,8.397063368776035,223.14423076923077,3.588235294117647,1.2981634412825331e-05
108,1.0,0.9,9.0,Gaussian,10.301327906259758,353.8265306122449,4.657894736842105,3.3338032649412287e-06
109,1.0,0.9,9.0,Gaussian,12.20559244374348,705.8681318681319,5.848484848484849,3.06997838733773e-06
110,1.0,0.9,9.0,Bigaussian,1.725,53.92941176470588,1.15625,2.5106460290306297e-05
111,1.0,0.9,9.0,Bigaussian,2.6129536094699697,78.20952380952382,1.0,3.5599044764148886e-05
112,1.0,0.9,9.0,Bigaussian,3.500907218939939,74.5934065934066,1.2058823529411764,2.7801336379098838e-05
113,1.0,0.9,9.0,Bigaussian,4.388860828409909,180.85858585858585,1.1666666666666667,2.9975606301040854e-05
114,1.0,0.9,9.0,Bigaussian,5.276814437879878,2388.5,1.2325581395348837,2.7242440736850845e-05
115,1.0,0.9,9.0,PWG,1.725,62.97560975609756,1.1071428571428572,7.308621199926933e-06
116,1.0,0.9,9.0,PWG,2.6129536094699697,69.46078431372548,1.1071428571428572,7.570247908457832e-06
117,1.0,0.9,9.0,PWG,3.500907218939939,100.73626373626374,1.0769230769230769,7.090555199541088e-06
118,1.0,0.9,9.0,PWG,4.388860828409909,238.17307692307693,1.0,7.610908159745211e-06
119,1.0,0.9,9.0,PWG,5.276814437879878,2279.46875,1.1818181818181819,7.549174484990369e-06
120,2.0,0.6,3.0,Gaussian,3.0170357812499984,49.57608695652174,1.2708333333333333,7.046557352109175e-06
121,2.0,0.6,3.0,Gaussian,4.007423609461533,85.16279069767442,1.0,3.016889207613246e-06
122,2.0,0.6,3.0,Gaussian,4.997811437673068,141.73033707865167,1.2307692307692308,4.3111271497303485e-06
123,2.0,0.6,3.0,Gaussian,5.988199265884603,226.07,1.446808510638298,2.9901817156720364e-06
124,2.0,0.6,3.0,Gaussian,6.978587094096138,409.7551020408163,1.5333333333333334,6.743276876326525e-06
125,2.0,0.6,3.0,Bigaussian,2.623509374999999,48.16129032258065,1.0,3.6310596529320985e-05
126,2.0,0.6,3.0,Bigaussian,3.114765604702147,68.92307692307692,1.0,2.8875783320174187e-05
127,2.0,0.6,3.0,Bigaussian,3.6060218344042942,76.82954545454545,1.3035714285714286,3.0352967482114168e-05
128,2.0,0.6,3.0,Bigaussian,4.097278064106442,421.04395604395603,1.205128205128205,2.7089120065272463e-05
129,2.0,0.6,3.0,Bigaussian,4.58853429380859,541.3962264150944,1.3548387096774193,2.6196313356021897e-05
130,2.0,0.6,3.0,PWG,2.623509374999999,51.5,1.0,1.6928931873571406e-05
131,2.0,0.6,3.0,PWG,2.96513948642578,55.08411214953271,1.0,1.1626603821716968e-05
132,2.0,0.6,3.0,PWG,3.3067695978515603,89.55555555555556,1.0,8.510193465582211e-06
133,2.0,0.6,3.0,PWG,3.6483997092773413,401.2755102040816,1.2173913043478262,1.0036799399008635e-05
134,2.0,0.6,3.0,PWG,3.990029820703122,561.563829787234,1.3454545454545455,7.2044533536002955e-06
135,2.0,0.6,9.0,Gaussian,3.990029820703122,58.09090909090909,1.1578947368421053,4.167013400000684e-06
136,2.0,0.6,9.0,Gaussian,5.299817723512876,119.70833333333333,1.2777777777777777,3.863267084917738e-06
137,2.0,0.6,9.0,Gaussian,6.609605626322631,225.92380952380952,1.0,6.0653952184623875e-06
138,2.0,0.6,9.0,Gaussian,7.919393529132385,443.62025316455697,1.7446808510638299,3.709591971687782e-06
139,2.0,0.6,9.0,Gaussian,9.22918143194214,1139.5714285714287,1.8888888888888888,3.271214698680865e-06
140,2.0,0.6,9.0,Bigaussian,2.623509374999999,56.27272727272727,1.1071428571428572,2.9407348766235477e-05
141,2.0,0.6,9.0,Bigaussian,3.114765604702147,72.50561797752809,1.2093023255813953,3.174285809264459e-05
142,2.0,0.6,9.0,Bigaussian,3.6060218344042942,96.23863636363636,1.0,2.24059889058153e-05
143,2.0,0.6,9.0,Bigaussian,4.097278064106442,239.5326086956522,1.25,2.3499317501844592e-05
144,2.0,0.6,9.0,Bigaussian,4.58853429380859,755.6875,1.3220338983050848,2.9375024574468568e-05
145,2.0,0.6,9.0,PWG,2.623509374999999,65.21052631578948,1.1428571428571428,6.9807520870285015e-06
146,2.0,0.6,9.0,PWG,3.114765604702147,68.43564356435644,1.3333333333333333,1.04862603971808e-05
147,2.0,0.6,9.0,PWG,3.6060218344042942,116.76404494382022,1.2708333333333333,1.8342582222615793e-05
148,2.0,0.6,9.0,PWG,4.097278064106442,199.34545454545454,1.375,7.802682329795181e-06
149,2.0,0.6,9.0,PWG,4.58853429380859,972.0744680851063,1.2727272727272727,6.689498162079942e-06
150,2.0,0.9,3.0,Gaussian,1.725,51.5,1.2173913043478262,3.6927291912186717e-06
151,2.0,0.9,3.0,Gaussian,3.9471396616833654,100.2072072072072,1.1818181818181819,5.188060929161285e-06
152,2.0,0.9,3.0,Gaussian,6.16927932336673,198.2528735632184,1.3958333333333333,3.5732944734700736e-06
153,2.0,0.9,3.0,Gaussian,8.391418985050096,357.3066666666667,1.8,3.47977425538475e-06
154,2.0,0.9,3.0,Gaussian,10.61355864673346,673.4122807017544,2.1923076923076925,3.0451881311140546e-06
155,2.0,0.9,3.0,Bigaussian,2.623509374999999,51.73267326732673,1.1071428571428572,2.721150158918616e-05
156,2.0,0.9,3.0,Bigaussian,3.114765604702147,68.56962025316456,1.2083333333333333,3.370605951142391e-05
157,2.0,0.9,3.0,Bigaussian,3.6060218344042942,95.79310344827586,1.205128205128205,2.6142661739189383e-05
158,2.0,0.9,3.0,Bigaussian,4.097278064106442,178.38297872340425,1.0,2.4102165355039625e-05
159,2.0,0.9,3.0,Bigaussian,4.58853429380859,813.343137254902,1.1071428571428572,2.5237156789465863e-05
160,2.0,0.9,3.0,PWG,2.623509374999999,33.14102564102564,1.1333333333333333,1.2517690491264388e-05
161,2.0,0.9,3.0,PWG,3.114765604702147,48.00952380952381,1.0476190476190477,1.186348111361705e-05
162,2.0,0.9,3.0,PWG,3.6060218344042942,69.45161290322581,1.1333333333333333,7.826286239542124e-06
163,2.0,0.9,3.0,PWG,4.097278064106442,191.94505494505495,1.15625,8.513172983298184e-06
164,2.0,0.9,3.0,PWG,4.58853429380859,863.4375,1.0,1.1719527348614108e-05
165,2.0,0.9,9.0,Gaussian,4.58853429380859,64.40425531914893,1.0,4.975649420729501e-06
166,2.0,0.9,9.0,Gaussian,7.47687472206913,104.83505154639175,1.0,3.7114393147469067e-06
167,2.0,0.9,9.0,Gaussian,10.365215150329671,197.8375,2.4146341463414633,2.518659753886986e-06
168,2.0,0.9,9.0,Gaussian,13.253555578590209,402.5670103092784,2.896551724137931,3.8064187280506325e-06
169,2.0,0.9,9.0,Gaussian,16.14189600685075,1151.5257731958764,3.6153846153846154,3.0852551141507858e-06
170,2.0,0.9,9.0,Bigaussian,1.725,63.819148936170215,1.0,3.2644533914703825e-05
171,2.0,0.9,9.0,Bigaussian,2.6129536094699697,87.65957446808511,1.0,3.172637116260574e-05
172,2.0,0.9,9.0,Bigaussian,3.500907218939939,107.81651376146789,1.0769230769230769,3.1522875604403464e-05
173,2.0,0.9,9.0,Bigaussian,4.388860828409909,147.6551724137931,1.1071428571428572,2.8287296465743914e-05
174,2.0,0.9,9.0,Bigaussian,5.276814437879878,2325.021505376344,1.25,2.5553140424006408e-05
175,2.0,0.9,9.0,PWG,1.725,63.2183908045977,1.0,9.99419311370319e-06
176,2.0,0.9,9.0,PWG,2.6129536094699697,86.02352941176471,1.1333333333333333,3.118180242071997e-05
177,2.0,0.9,9.0,PWG,3.500907218939939,105.5050505050505,1.15625,6.551865359374233e-06
178,2.0,0.9,9.0,PWG,4.388860828409909,173.6,1.1071428571428572,7.464449326302611e-06
179,2.0,0.9,9.0,PWG,5.276814437879878,2348.2755102040815,1.0476190476190477,6.853735240326255e-06
