,alpha,std2,delta,pdf_type,h,ARL0,ARL1,CompTime
156,0.6,6.0,0.5,Gaussian,2.9076663723482983,191.26566125290023,63.12393681652491,2.6094250526790813e-06
157,0.6,6.0,0.5,Gaussian,3.384186578498922,275.73302107728335,80.09910913140311,2.070702788294226e-06
158,0.6,6.0,0.5,Gaussian,3.860706784649545,372.0,96.74397244546498,2.1397044044921083e-06
159,0.6,6.0,0.5,Gaussian,4.337226990800168,520.4229934924078,111.0910209102091,2.0472266713188075e-06
160,0.6,6.0,0.5,Bigaussian,1.150412973163465,36.8187134502924,11.329761904761904,2.0808031123081686e-05
161,0.6,6.0,0.5,Bigaussian,1.3628192397639842,56.06768558951965,13.856643356643357,1.9020396885282916e-05
162,0.6,6.0,0.5,Bigaussian,1.5752255063645035,74.38245614035088,17.71931818181818,1.7477477811363957e-05
163,0.6,6.0,0.5,Bigaussian,1.7876317729650228,102.0763968072976,20.802107728337237,1.7961040658992696e-05
164,0.6,6.0,0.5,Bigaussian,2.000038039565542,141.05017103762827,23.04047619047619,1.7545854340368973e-05
165,0.6,6.0,0.5,Bigaussian,2.2124443061660615,175.08823529411765,27.271929824561404,1.644770285789014e-05
166,0.6,6.0,0.5,Bigaussian,2.424850572766581,240.63430420711975,30.48906048906049,1.6767581647609434e-05
167,0.6,6.0,0.5,Bigaussian,2.6372568393671,300.9267285861713,33.796044499381956,1.697645934397958e-05
168,0.6,6.0,0.5,Bigaussian,2.849663105967619,398.61629153269024,37.25930680359435,1.7246750436739744e-05
169,0.6,6.0,0.5,Bigaussian,3.0620693725681387,464.7233584499462,40.39453125,1.6608913996077107e-05
170,0.6,6.0,0.5,PWG,1.2654542704798115,33.29147465437788,10.731171548117155,5.8368853372111175e-06
171,0.6,6.0,0.5,PWG,1.4991011637403828,45.60300925925926,13.663615560640732,4.68465340041181e-06
172,0.6,6.0,0.5,PWG,1.7327480570009541,62.524064171122994,16.10822998872604,4.361957678260337e-06
173,0.6,6.0,0.5,PWG,1.9663949502615252,80.92410714285714,18.324324324324323,3.9710413436001156e-06
174,0.6,6.0,0.5,PWG,2.2000418435220968,105.83122362869199,20.662591687041566,3.350840901395811e-06
175,0.6,6.0,0.5,PWG,2.433688736782668,139.3726775956284,25.27923627684964,3.4967096706449754e-06
176,0.6,6.0,0.5,PWG,2.6673356300432394,183.78283898305085,27.49587750294464,3.0116979653180414e-06
177,0.6,6.0,0.5,PWG,2.9009825233038105,225.9271383315734,31.055696202531646,3.391110075857708e-06
178,0.6,6.0,0.5,PWG,3.1346294165643815,274.9479708636837,35.27214377406932,3.103932351450076e-06
